item_id,denumire,total_valoare,cantitate,pret_unitar,moneda,validare,sursa,source_value_row,source_qty_row,observatii
MED-0120,Bandaj elastic 5 cm,4197.6,88.0,47.7,MDL,OK,Лист3,250,251,
MED-0121,Bandaj elastic 5-7m-15cm,1613.52,72.0,22.41,MDL,OK,Лист3,252,253,
MED-0122,"Bandaj gipsat 10cm#270cm,(5-6min)",491.18,100.0,4.9118,MDL,OK,Лист3,254,255,
MED-0123,Bandaj gipsat 10cm#270cm(2-3min),2406.14,620.0,3.8809,MDL,OK,Лист3,256,257,
MED-0124,Bandaj gipsat 15cm#270cm (2-3min),387.81,60.0,6.4635,MDL,OK,Лист3,258,259,
MED-0125,Bandaj gipsat 20cm#270cm(2-3min),15271.48,2040.0,7.486,MDL,OK,Лист3,260,261,
MED-0126,Bandaj gipsat 20cm#270cm(4-7min),473.13,60.0,7.8855,MDL,OK,Лист3,262,263,
MED-0127,Benzil benzoat ung.20%30g N1,1134.4,42.0,27.0095,MDL,OK,Лист3,264,265,
MED-0128,Benzil benzoat ung.20g N1,204.11,8.0,25.5138,MDL,OK,Лист3,266,267,
MED-0129,Betacalm comp.150mg N30,1030.08,840.0,1.2263,MDL,OK,Лист3,268,269,
MED-0130,Betadine sup.vag 200 mg N14,358.51,56.0,6.402,MDL,OK,Лист3,270,271,
MED-0131,Betametason susp. inj.2.63mg/ml +6.43 mg/ml 1ml N5,164.55,15.0,10.97,MDL,OK,Лист3,272,273,
MED-0132,Betisoare igienice N100,520.66,3000.0,0.1736,MDL,OK,Лист3,274,275,
MED-0133,Bicard comp.2.5mg N 30,1535.11,3090.0,0.4968,MDL,OK,Лист3,276,277,
MED-0134,Bisacodil comp. gastrorez. 5 mg N10x4,905.01,2000.0,0.4525,MDL,OK,Лист3,278,279,
MED-0135,Bisacodil supoz.N10,304.28,140.0,2.1734,MDL,OK,Лист3,280,281,
MED-0136,Biseptol susp. orala 200 mg + 40 mg/5 ml 80 ml N1,75.6,2.0,37.8,MDL,OK,Лист3,282,283,
MED-0137,Biseptrim comp.480mg N20,25.08,20.0,1.254,MDL,OK,Лист3,284,285,
MED-0138,Bisoprolol 10mg comp.N30,886.19,2940.0,0.3014,MDL,OK,Лист3,286,287,
MED-0139,Bisoprolol comp. 5 mgN30 *,960.57,4050.0,0.2372,MDL,OK,Лист3,288,289,
MED-0140,Bisoprolol comp.2.5mg N30,48.0,120.0,0.4,MDL,OK,Лист3,290,291,
MED-0141,"Bisoprolol-BP 2,5 comp.film.N10x3",216.03,540.0,0.4001,MDL,OK,Лист3,292,293,
MED-0142,Bixtonim Xylo pic.naz.sol.0.5mg/ml10ml N1,32.14,5.0,6.428,MDL,OK,Лист3,294,295,
MED-0143,Bofen 100mg/5ml susp.orala N1,116.23,6.0,19.3717,MDL,OK,Лист3,296,297,
MED-0144,Boofen susp.orala 100mg/5ml 100ml N1,210.24,11.0,19.1127,MDL,OK,Лист3,298,299,
